Order_ID,Order_Date,Ship_Date,Customer_ID,Customer_Name,Gender,Age,City,State,Region,Product_ID,Product_Name,Category,Sub_Category,Quantity,Unit_Price,Discount,Sales,Profit,Payment_Method
ORD00021,2025-05-09,2025-05-12,C0059,Priya,Female,27,Chennai,Tamil Nadu,South,P003,Laptop,Electronics,Laptop,1,848,0.1,763.2,38.75,Card
ORD00022,2025-02-20,2025-02-26,C0126,Sneha,Female,31,Delhi,Delhi,North,P044,Phone,Electronics,Phone,3,1218,0.15,3105.9,244.25,Card
ORD00023,2025-02-14,2025-02-18,C0227,Sneha,Male,61,Bengaluru,Karnataka,South,P024,Jeans,Clothing,Jeans,2,1157,0.1,2082.6,437.15,Card
ORD00024,2025-04-26,2025-04-30,C0227,Diya,Male,65,Kochi,Kerala,South,P036,Phone,Electronics,Phone,6,152,0.0,912.0,201.05,Card
ORD00025,2025-08-24,2025-08-29,C0151,Diya,Male,54,Chennai,Tamil Nadu,South,P014,Phone,Electronics,Phone,4,1603,0.05,6091.4,1522.44,UPI
ORD00026,2025-10-02,2025-10-07,C0127,Priya,Female,19,Chennai,Tamil Nadu,South,P013,Jeans,Clothing,Jeans,1,4445,0.1,4000.5,928.85,Card
ORD00027,2025-12-23,2025-12-28,C0011,Rahul,Female,34,Bengaluru,Karnataka,South,P005,Jeans,Clothing,Jeans,3,2772,0.1,7484.4,750.19,Card
ORD00028,2025-11-04,2025-11-10,C0215,Rahul,Female,47,Bengaluru,Karnataka,South,P004,Tea,Grocery,Tea,6,542,0.1,2926.8,225.09,Cash
ORD00029,2025-03-17,2025-03-19,C0039,Sneha,Female,30,Chennai,Tamil Nadu,South,P005,Tea,Grocery,Tea,8,3286,0.0,26288.0,5576.61,Cash
ORD00030,2025-08-20,2025-08-26,C0110,Sneha,Female,19,Kochi,Kerala,South,P013,Laptop,Electronics,Laptop,1,1153,0.05,1095.35,219.96,Cash
ORD00031,2025-10-22,2025-10-28,C0149,Aarav,Male,55,Chennai,Tamil Nadu,South,P020,Jeans,Clothing,Jeans,6,2289,0.15,11673.9,1292.63,Card
ORD00032,2025-09-02,2025-09-05,C0189,Rahul,Female,21,Kochi,Kerala,South,P002,Rice,Grocery,Rice,3,3724,0.1,10054.8,735.93,UPI
ORD00033,2025-01-13,2025-01-20,C0006,Aarav,Female,57,Mumbai,Maharashtra,West,P030,Rice,Grocery,Rice,8,3614,0.0,28912.0,5537.91,UPI
ORD00034,2025-02-21,2025-02-28,C0042,Rahul,Male,57,Chennai,Tamil Nadu,South,P012,Laptop,Electronics,Laptop,6,284,0.05,1618.8,82.21,Card
ORD00035,2025-03-28,2025-03-30,C0083,Priya,Male,49,Bengaluru,Karnataka,South,P050,Chair,Furniture,Chair,8,2745,0.0,21960.0,4633.43,UPI
ORD00036,2025-08-23,2025-08-25,C0006,Sneha,Female,62,Delhi,Delhi,North,P049,Tea,Grocery,Tea,6,296,0.0,1776.0,368.81,Card
ORD00037,2025-05-21,2025-05-23,C0055,Diya,Male,20,Bengaluru,Karnataka,South,P023,Jeans,Clothing,Jeans,7,1939,0.15,11537.05,2710.75,Cash
ORD00038,2025-02-14,2025-02-17,C0169,Aarav,Male,23,Bengaluru,Karnataka,South,P050,Phone,Electronics,Phone,7,945,0.05,6284.25,1256.48,Cash
ORD00039,2025-12-03,2025-12-09,C0239,Rahul,Male,54,Unknown,Tamil Nadu,South,P019,Jeans,Clothing,Jeans,2,284,0.05,539.6,31.27,Card
ORD00040,2025-11-12,2025-11-15,C0234,Aarav,Male,60,Chennai,Tamil Nadu,South,P017,Desk,Furniture,Desk,7,3044,0.1,19177.2,3389.03,Cash
ORD00041,2025-09-01,2025-09-02,C0200,Aarav,Female,62,Kochi,Kerala,South,P017,Rice,Grocery,Rice,6,3904,0.05,22252.8,4407.82,Cash
ORD00042,2025-09-11,2025-09-18,C0053,Priya,Male,55,Delhi,Delhi,North,P010,Rice,Grocery,Rice,3,2738,0.0,8214.0,524.3,Cash
ORD00043,2025-12-17,2025-12-20,C0111,Diya,Female,38,Chennai,Tamil Nadu,South,P021,Jeans,Clothing,Jeans,1,897,0.15,762.45,50.44,Card
ORD00044,2025-01-01,2025-01-05,C0104,Rahul,Female,26,Bengaluru,Karnataka,South,P006,Desk,Furniture,Desk,4,1822,0.15,6194.8,1160.8,Cash
ORD00045,2025-03-02,2025-03-03,C0008,Diya,Female,58,Bengaluru,Karnataka,South,P047,Laptop,Electronics,Laptop,6,1840,0.15,9384.0,906.22,Card
ORD00046,2025-02-07,2025-02-12,C0246,Priya,Male,59,Delhi,Delhi,North,P029,Jeans,Clothing,Jeans,6,4871,0.1,26303.4,4001.81,UPI
ORD00047,2025-09-16,2025-09-22,C0018,Aarav,Male,36,Kochi,Kerala,South,P025,Tea,Grocery,Tea,5,1889,0.1,8500.5,500.66,UPI
ORD00048,2025-07-02,2025-07-09,C0069,Rahul,Female,61,Delhi,Delhi,North,P024,Laptop,Electronics,Laptop,8,443,0.1,3189.6,685.06,Cash
ORD00049,2025-11-07,2025-11-09,C0171,Priya,Male,53,Bengaluru,Karnataka,South,P039,Desk,Furniture,Desk,6,1847,0.05,10527.9,1243.63,Card
ORD00050,2025-02-04,2025-02-10,C0229,Rahul,Male,18,Kochi,Kerala,South,P025,Laptop,Electronics,Laptop,8,4399,0.05,33432.4,4816.7,UPI
ORD00051,2025-09-23,2025-09-26,C0054,Diya,Male,25,Bengaluru,Karnataka,South,P005,Laptop,Electronics,Laptop,4,1304,0.05,4955.2,750.31,UPI
ORD00052,2025-04-22,2025-04-29,C0078,Diya,Male,61,Kochi,Kerala,South,P023,Laptop,Electronics,Laptop,7,1412,0.0,9884.0,1835.27,UPI
ORD00053,2025-06-30,2025-07-01,C0245,Diya,Male,25,Chennai,Tamil Nadu,South,P037,Desk,Furniture,Desk,6,2528,0.0,15168.0,1400.51,UPI
ORD00054,2025-07-05,2025-07-10,C0249,Diya,Male,36,Mumbai,Maharashtra,West,P033,Chair,Furniture,Chair,7,3178,0.05,21133.7,5213.33,Cash
ORD00055,2025-10-20,2025-10-27,C0118,Rahul,Female,48,Bengaluru,Karnataka,South,P018,Phone,Electronics,Phone,5,1569,0.1,7060.5,1464.96,UPI
ORD00056,2025-10-19,2025-10-26,C0097,Sneha,Male,55,Chennai,Tamil Nadu,South,P007,Jeans,Clothing,Jeans,4,331,0.1,1191.6,98.25,Card
ORD00057,2025-03-21,2025-03-26,C0238,Priya,Female,53,Mumbai,Maharashtra,West,P040,Tea,Grocery,Tea,7,4075,0.15,24246.25,2743.64,Cash
ORD00058,2025-11-10,2025-11-13,C0194,Aarav,Male,44,Bengaluru,Karnataka,South,P007,Jeans,Clothing,Jeans,1,1512,0.0,1512.0,354.72,Cash
ORD00059,2025-03-03,2025-03-07,C0157,Diya,Male,35,Bengaluru,Karnataka,South,P011,Phone,Electronics,Phone,5,915,0.15,3888.75,753.23,Cash
ORD00060,2025-03-27,2025-03-31,C0202,Diya,Female,60,Delhi,Delhi,North,P010,Rice,Grocery,Rice,6,4887,0.15,24923.7,4165.5,Card
ORD00061,2025-12-03,2025-12-04,C0110,Aarav,Female,38,Delhi,Delhi,North,P049,Tea,Grocery,Tea,8,1584,0.0,12672.0,782.46,Cash
ORD00062,2025-10-02,2025-10-04,C0091,Priya,Male,20,Kochi,Kerala,South,P044,Laptop,Electronics,Laptop,6,187,0.05,1065.9,94.39,Cash
ORD00063,2025-12-30,2026-01-02,C0228,Sneha,Female,57,Mumbai,Maharashtra,West,P009,Rice,Grocery,Rice,2,983,0.15,1671.1,404.7,Card
ORD00064,2025-01-20,2025-01-23,C0068,Aarav,Male,42,Delhi,Delhi,North,P024,Desk,Furniture,Desk,8,677,0.15,4603.6,577.29,UPI
ORD00065,2025-03-03,2025-03-10,C0018,Priya,Female,49,Chennai,Tamil Nadu,South,P011,Tea,Grocery,Tea,7,3410,0.1,21483.0,5325.48,Card
ORD00066,2025-03-24,2025-03-26,C0237,Rahul,Male,49,Chennai,Tamil Nadu,South,P004,Laptop,Electronics,Laptop,2,4294,0.05,8158.6,766.64,UPI
ORD00067,2025-03-15,2025-03-21,C0089,Diya,Female,54,Mumbai,Maharashtra,West,P031,Desk,Furniture,Desk,3,1216,0.0,3648.0,364.48,Card
ORD00068,2025-01-31,2025-02-01,C0151,Rahul,Male,25,Delhi,Delhi,North,P001,Phone,Electronics,Phone,5,3314,0.15,14084.5,1363.62,UPI
ORD00069,2025-07-03,2025-07-10,C0153,Diya,Male,20,Bengaluru,Karnataka,South,P019,Tea,Grocery,Tea,5,3435,0.15,14598.75,2940.08,Card
ORD00070,2025-04-04,2025-04-06,C0003,Sneha,Female,55,Mumbai,Maharashtra,West,P027,Jeans,Clothing,Jeans,8,4753,0.1,34221.6,8178.15,Card
ORD00071,2025-01-25,2025-01-26,C0045,Diya,Male,65,Delhi,Delhi,North,P020,Phone,Electronics,Phone,2,3482,0.0,6964.0,730.17,Card
ORD00072,2025-02-19,2025-02-25,C0115,Sneha,Female,61,Mumbai,Maharashtra,West,P018,Chair,Furniture,Chair,2,3723,0.15,6329.1,322.18,Cash
ORD00073,2025-05-31,2025-06-03,C0038,Diya,Male,55,Delhi,Delhi,North,P021,Tea,Grocery,Tea,4,2538,0.0,10152.0,989.25,Cash
ORD00074,2025-10-19,2025-10-25,C0104,Aarav,Male,50,Chennai,Tamil Nadu,South,P023,Laptop,Electronics,Laptop,1,4420,0.1,3978.0,462.32,Card
ORD00075,2025-11-11,2025-11-16,C0091,Sneha,Female,48,Bengaluru,Karnataka,South,P046,Rice,Grocery,Rice,7,1387,0.15,8252.65,1387.01,UPI
ORD00076,2025-03-06,2025-03-09,C0104,Rahul,Male,65,Bengaluru,Karnataka,South,P012,Phone,Electronics,Phone,5,4930,0.05,23417.5,4070.02,UPI
ORD00077,2025-07-22,2025-07-25,C0064,Rahul,Female,49,Delhi,Delhi,North,P009,Phone,Electronics,Phone,1,1135,0.15,964.75,81.58,Cash
ORD00078,2025-05-05,2025-05-11,C0079,Rahul,Male,48,Bengaluru,Karnataka,South,P019,Laptop,Electronics,Laptop,8,3751,0.0,30008.0,5812.91,Card
ORD00079,2025-03-16,2025-03-20,C0183,Sneha,Male,30,Delhi,Delhi,North,P012,Laptop,Electronics,Laptop,4,963,0.05,3659.4,582.83,Cash
ORD00080,2025-09-13,2025-09-18,C0204,Diya,Female,56,Bengaluru,Karnataka,South,P019,Chair,Furniture,Chair,6,2517,0.05,14346.9,2656.73,Card
ORD00081,2025-01-08,2025-01-14,C0034,Rahul,Male,58,Delhi,Delhi,North,P045,Tea,Grocery,Tea,3,4746,0.15,12102.3,745.22,Card
ORD00082,2025-08-13,2025-08-15,C0078,Rahul,Male,48,Mumbai,Maharashtra,West,P025,Rice,Grocery,Rice,4,4637,0.0,18548.0,3887.41,Card
ORD00083,2025-03-08,2025-03-09,C0107,Rahul,Male,18,Bengaluru,Karnataka,South,P010,Rice,Grocery,Rice,8,2861,0.15,19454.8,2116.04,Cash
ORD00084,2025-04-05,2025-04-09,C0057,Priya,Male,45,Mumbai,Maharashtra,West,P006,Rice,Grocery,Rice,1,2072,0.15,1761.2,192.36,Card
ORD00085,2025-04-19,2025-04-20,C0059,Priya,Male,39,Delhi,Delhi,North,P008,Phone,Electronics,Phone,4,121,0.05,459.8,37.79,Cash
ORD00086,2025-03-06,2025-03-11,C0161,Rahul,Female,47,Kochi,Kerala,South,P030,Laptop,Electronics,Laptop,7,3242,0.0,22694.0,2452.54,Cash
ORD00087,2025-08-09,2025-08-10,C0232,Priya,Male,44,Bengaluru,Karnataka,South,P049,Desk,Furniture,Desk,6,365,0.15,1861.5,372.43,Card
ORD00088,2025-11-24,2025-11-30,C0003,Priya,Male,26,Mumbai,Maharashtra,West,P024,Laptop,Electronics,Laptop,4,4174,0.15,14191.6,1343.73,UPI
ORD00089,2025-03-22,2025-03-25,C0118,Priya,Male,60,Bengaluru,Karnataka,South,P020,Rice,Grocery,Rice,2,1927,0.15,3275.9,436.14,UPI
ORD00090,2025-11-17,2025-11-23,C0060,Aarav,Female,64,Mumbai,Maharashtra,West,P020,Jeans,Clothing,Jeans,4,3942,0.05,14979.6,1970.01,UPI
ORD00091,2025-06-22,2025-06-27,C0178,Diya,Male,61,Bengaluru,Karnataka,South,P049,Laptop,Electronics,Laptop,2,3231,0.15,5492.7,1307.48,UPI
ORD00092,2025-11-07,2025-11-14,C0187,Rahul,Male,21,Mumbai,Maharashtra,West,P001,Phone,Electronics,Phone,5,500,0.15,2125.0,434.58,UPI
ORD00093,2025-04-26,2025-04-30,C0082,Priya,Male,51,Bengaluru,Karnataka,South,P007,Jeans,Clothing,Jeans,2,3921,0.0,7842.0,1419.26,Card
ORD00094,2025-12-19,2025-12-23,C0074,Priya,Male,28,Mumbai,Maharashtra,West,P015,Phone,Electronics,Phone,8,4426,0.0,35408.0,3450.14,Cash
ORD00095,2025-06-17,2025-06-18,C0124,Diya,Male,38,Kochi,Kerala,South,P043,Jeans,Clothing,Jeans,4,4245,0.0,16980.0,879.65,Card
ORD00096,2025-10-06,2025-10-13,C0194,Priya,Female,54,Chennai,Tamil Nadu,South,P027,Jeans,Clothing,Jeans,1,1142,0.0,1142.0,259.9,Cash
ORD00097,2025-09-08,2025-09-14,C0191,Aarav,Female,60,Mumbai,Maharashtra,West,P033,Desk,Furniture,Desk,4,4248,0.0,16992.0,1929.41,Card
ORD00098,2025-07-16,2025-07-21,C0046,Rahul,Female,35,Kochi,Kerala,South,P025,Chair,Furniture,Chair,5,3384,0.15,14382.0,1648.14,UPI
ORD00099,2025-06-29,2025-07-06,C0051,Sneha,Male,28,Kochi,Kerala,South,P005,Chair,Furniture,Chair,5,3888,0.0,19440.0,2216.86,Card
ORD00100,2025-10-31,2025-11-01,C0093,Aarav,Male,56,Mumbai,Maharashtra,West,P044,Jeans,Clothing,Jeans,6,2693,0.0,16158.0,3308.99,Card
ORD00101,2025-01-30,2025-01-31,C0004,Sneha,Female,28,Chennai,Tamil Nadu,South,P004,Phone,Electronics,Phone,8,4944,0.05,37574.4,6860.22,Card
ORD00102,2025-05-01,2025-05-06,C0041,Sneha,Female,38,Bengaluru,Karnataka,South,P009,Laptop,Electronics,Laptop,3,4470,0.0,13410.0,2138.55,Cash
ORD00103,2025-10-24,2025-10-27,C0030,Diya,Male,40,Bengaluru,Karnataka,South,P039,Rice,Grocery,Rice,5,1291,0.0,6455.0,1521.0,Cash
ORD00104,2025-11-27,2025-12-04,C0072,Priya,Female,41,Mumbai,Maharashtra,West,P038,Phone,Electronics,Phone,1,2028,0.15,1723.8,343.08,Cash
ORD00105,2025-10-09,2025-10-11,C0102,Aarav,Female,24,Kochi,Kerala,South,P021,Jeans,Clothing,Jeans,6,3685,0.1,19899.0,3452.13,Cash
ORD00106,2025-11-06,2025-11-08,C0078,Sneha,Female,20,Mumbai,Maharashtra,West,P032,Chair,Furniture,Chair,3,1052,0.0,3156.0,551.53,UPI
ORD00107,2025-03-20,2025-03-24,C0007,Rahul,Female,53,Bengaluru,Karnataka,South,P019,Chair,Furniture,Chair,6,533,0.1,2878.2,677.5,Card
ORD00108,2025-03-22,2025-03-28,C0242,Sneha,Female,32,Chennai,Tamil Nadu,South,P041,Jeans,Clothing,Jeans,7,3850,0.1,24255.0,2873.66,Cash
ORD00109,2025-04-04,2025-04-11,C0109,Sneha,Female,55,Delhi,Delhi,North,P041,Phone,Electronics,Phone,1,2440,0.0,2440.0,560.16,UPI
ORD00110,2025-09-17,2025-09-21,C0099,Rahul,Male,43,Chennai,Tamil Nadu,South,P014,Jeans,Clothing,Jeans,4,4190,0.0,16760.0,2893.32,Cash
ORD00111,2025-10-24,2025-10-30,C0248,Priya,Female,46,Mumbai,Maharashtra,West,P004,Phone,Electronics,Phone,3,3709,0.15,9457.95,1570.82,UPI
ORD00112,2025-07-18,2025-07-23,C0145,Diya,Female,36,Kochi,Kerala,South,P006,Desk,Furniture,Desk,3,728,0.0,2184.0,367.82,UPI
ORD00113,2025-01-09,2025-01-13,C0201,Diya,Female,45,Bengaluru,Karnataka,South,P007,Rice,Grocery,Rice,7,2089,0.0,14623.0,2686.69,Cash
ORD00114,2025-04-18,2025-04-21,C0039,Aarav,Male,29,Chennai,Tamil Nadu,South,P002,Jeans,Clothing,Jeans,6,4562,0.1,24634.8,4572.33,Card
ORD00115,2025-06-30,2025-07-01,C0044,Unknown Customer,Male,62,Bengaluru,Karnataka,South,P020,Phone,Electronics,Phone,2,4503,0.0,9006.0,1941.45,Card
ORD00116,2025-02-03,2025-02-05,C0218,Priya,Male,49,Delhi,Delhi,North,P044,Jeans,Clothing,Jeans,2,4498,0.1,8096.4,701.47,Cash
ORD00117,2025-09-06,2025-09-08,C0172,Priya,Male,61,Delhi,Delhi,North,P007,Desk,Furniture,Desk,7,1962,0.15,11673.9,1608.72,Card
ORD00118,2025-03-27,2025-04-03,C0163,Sneha,Male,65,Kochi,Kerala,South,P024,Rice,Grocery,Rice,3,3527,0.15,8993.85,2029.19,Card
ORD00119,2025-06-21,2025-06-25,C0172,Rahul,Male,52,Kochi,Kerala,South,P049,Jeans,Clothing,Jeans,7,1652,0.05,10985.8,2595.47,Cash
ORD00120,2025-03-27,2025-03-29,C0044,Sneha,Male,54,Kochi,Kerala,South,P046,Jeans,Clothing,Jeans,6,1904,0.05,10852.8,2103.06,UPI
ORD00121,2025-11-16,2025-11-22,C0246,Sneha,Male,22,Kochi,Kerala,South,P004,Desk,Furniture,Desk,5,1509,0.15,6413.25,627.46,UPI
ORD00122,2025-12-08,2025-12-10,C0208,Aarav,Female,41,Bengaluru,Karnataka,South,P008,Tea,Grocery,Tea,7,709,0.1,4466.7,480.42,Card
ORD00123,2025-10-27,2025-10-29,C0186,Diya,Female,18,Bengaluru,Karnataka,South,P040,Desk,Furniture,Desk,3,299,0.15,762.45,125.71,Card
ORD00124,2025-04-11,2025-04-18,C0187,Sneha,Female,19,Chennai,Tamil Nadu,South,P042,Phone,Electronics,Phone,6,4847,0.0,29082.0,5331.84,Cash
ORD00125,2025-01-12,2025-01-15,C0035,Sneha,Male,35,Kochi,Kerala,South,P029,Jeans,Clothing,Jeans,3,379,0.0,1137.0,232.65,Cash
ORD00126,2025-07-11,2025-07-12,C0192,Priya,Male,54,Delhi,Delhi,North,P018,Rice,Grocery,Rice,4,4773,0.1,17182.8,1622.01,Card
ORD00127,2025-06-28,2025-07-02,C0164,Rahul,Male,62,Mumbai,Maharashtra,West,P038,Jeans,Clothing,Jeans,6,1294,0.0,7764.0,1410.27,Card
ORD00128,2025-09-08,2025-09-13,C0079,Rahul,Male,46,Bengaluru,Karnataka,South,P032,Jeans,Clothing,Jeans,6,2615,0.15,13336.5,1532.28,UPI
ORD00129,2025-09-06,2025-09-10,C0147,Sneha,Male,47,Mumbai,Maharashtra,West,P004,Rice,Grocery,Rice,5,811,0.15,3446.75,487.09,UPI
ORD00130,2025-12-16,2025-12-22,C0031,Priya,Male,57,Kochi,Kerala,South,P038,Jeans,Clothing,Jeans,8,286,0.0,2288.0,336.86,Card
ORD00131,2025-04-06,2025-04-10,C0085,Sneha,Male,25,Bengaluru,Karnataka,South,P038,Laptop,Electronics,Laptop,6,1750,0.0,10500.0,1693.21,UPI
ORD00132,2025-06-27,2025-07-01,C0032,Priya,Female,56,Delhi,Delhi,North,P025,Jeans,Clothing,Jeans,2,3574,0.15,6075.8,579.69,Card
ORD00133,2025-03-10,2025-03-14,C0128,Aarav,Male,43,Kochi,Kerala,South,P047,Laptop,Electronics,Laptop,6,2051,0.05,11690.7,1578.1,Cash
ORD00134,2025-10-31,2025-11-06,C0067,Rahul,Female,39,Delhi,Delhi,North,P042,Laptop,Electronics,Laptop,2,2915,0.1,5247.0,1039.82,UPI
ORD00135,2025-02-28,2025-03-07,C0051,Diya,Female,24,Bengaluru,Karnataka,South,P042,Phone,Electronics,Phone,8,1374,0.0,10992.0,1795.94,UPI
ORD00136,2025-10-16,2025-10-18,C0192,Aarav,Male,34,Mumbai,Maharashtra,West,P040,Jeans,Clothing,Jeans,5,2967,0.1,13351.5,1555.08,Cash
ORD00137,2025-08-15,2025-08-22,C0164,Diya,Female,64,Bengaluru,Karnataka,South,P020,Jeans,Clothing,Jeans,7,1031,0.15,6134.45,439.14,Cash
ORD00138,2025-07-18,2025-07-21,C0186,Diya,Male,50,Chennai,Tamil Nadu,South,P021,Jeans,Clothing,Jeans,1,2482,0.1,2233.8,317.5,UPI
ORD00139,2025-10-25,2025-10-27,C0235,Unknown Customer,Female,29,Delhi,Delhi,North,P018,Jeans,Clothing,Jeans,1,4821,0.1,4338.9,330.68,Cash
ORD00140,2025-02-05,2025-02-10,C0214,Rahul,Male,22,Bengaluru,Karnataka,South,P039,Laptop,Electronics,Laptop,7,4202,0.0,29414.0,4692.99,Card
ORD00141,2025-01-15,2025-01-19,C0149,Diya,Male,23,Kochi,Kerala,South,P004,Laptop,Electronics,Laptop,7,2283,0.0,15981.0,1169.99,UPI
ORD00142,2025-11-19,2025-11-22,C0115,Priya,Female,36,Chennai,Tamil Nadu,South,P039,Chair,Furniture,Chair,1,2868,0.15,2437.8,399.31,Cash
ORD00143,2025-01-27,2025-01-29,C0088,Sneha,Male,45,Bengaluru,Karnataka,South,P008,Laptop,Electronics,Laptop,6,524,0.0,3144.0,223.48,Card
ORD00144,2025-07-18,2025-07-24,C0235,Rahul,Male,32,Bengaluru,Karnataka,South,P011,Phone,Electronics,Phone,8,2505,0.1,18036.0,1042.49,UPI
ORD00145,2025-09-29,2025-10-04,C0220,Priya,Male,23,Kochi,Kerala,South,P031,Phone,Electronics,Phone,1,1421,0.05,1349.95,330.75,UPI
ORD00146,2025-09-12,2025-09-14,C0157,Diya,Female,61,Bengaluru,Karnataka,South,P018,Laptop,Electronics,Laptop,8,511,0.05,3883.6,616.8,Cash
ORD00147,2025-04-19,2025-04-25,C0111,Aarav,Male,33,Kochi,Kerala,South,P022,Jeans,Clothing,Jeans,4,2543,0.0,10172.0,2071.47,UPI
ORD00148,2025-03-10,2025-03-13,C0165,Sneha,Female,58,Bengaluru,Karnataka,South,P040,Desk,Furniture,Desk,6,2081,0.1,11237.4,2154.89,UPI
ORD00149,2025-05-05,2025-05-12,C0109,Diya,Female,38,Bengaluru,Karnataka,South,P041,Laptop,Electronics,Laptop,2,1347,0.05,2559.3,128.81,UPI
ORD00150,2025-06-22,2025-06-29,C0232,Sneha,Female,60,Kochi,Kerala,South,P019,Phone,Electronics,Phone,5,4987,0.15,21194.75,2013.65,UPI
ORD00151,2025-09-06,2025-09-13,C0173,Diya,Male,24,Bengaluru,Karnataka,South,P007,Chair,Furniture,Chair,7,2180,0.0,15260.0,2051.48,Card
ORD00152,2025-05-28,2025-05-30,C0088,Diya,Female,48,Bengaluru,Karnataka,South,P038,Chair,Furniture,Chair,8,3866,0.15,26288.8,3796.15,UPI
ORD00153,2025-05-02,2025-05-08,C0047,Priya,Female,43,Delhi,Delhi,North,P002,Rice,Grocery,Rice,2,847,0.1,1524.6,270.1,UPI
ORD00154,2025-03-28,2025-04-04,C0080,Aarav,Male,63,Kochi,Kerala,South,P013,Chair,Furniture,Chair,2,1869,0.1,3364.2,419.28,Cash
ORD00155,2025-08-01,2025-08-04,C0142,Rahul,Male,19,Bengaluru,Karnataka,South,P048,Chair,Furniture,Chair,5,298,0.05,1415.5,237.01,Card
ORD00156,2025-01-03,2025-01-07,C0172,Priya,Female,54,Mumbai,Maharashtra,West,P025,Laptop,Electronics,Laptop,4,398,0.15,1353.2,104.62,Cash
ORD00157,2025-05-29,2025-05-30,C0185,Sneha,Female,32,Mumbai,Maharashtra,West,P048,Laptop,Electronics,Laptop,7,4413,0.1,27801.9,6196.74,Card
ORD00158,2025-04-01,2025-04-08,C0046,Rahul,Female,48,Chennai,Tamil Nadu,South,P039,Chair,Furniture,Chair,1,3488,0.1,3139.2,591.41,Cash
ORD00159,2025-09-20,2025-09-23,C0162,Priya,Male,51,Kochi,Kerala,South,P015,Rice,Grocery,Rice,3,4803,0.0,14409.0,3109.15,UPI
